Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
POTE ankyrin domain family member D	Approved	ANKRD21, A26B3	21q11.2	AY172978	NM_174981	607549	ENSG00000166351	317754
POTE ankyrin domain family member E	Approved	A26C1A	2q21.1	AY462868	NM_001083538	608914	ENSG00000188219	445582
POTE ankyrin domain family member F	Approved	A26C1B	2q21.1	EF523384	NM_001099771		ENSG00000196604	728378
POTE ankyrin domain family member G	Approved	A26C2	14q11.2		NM_001005356	608916	ENSG00000187537	404785
POTE ankyrin domain family member H	Approved	ACTBL1, A26C3	22q11.1	AY462874	NM_001136213	608913	ENSG00000198062	23784
POTEH antisense RNA 1	Approved		22q11.1	AY338953			ENSG00000236666	100852406
POTE ankyrin domain family member I	Approved		2q21.1		NM_001277406		ENSG00000196834	653269
POTE ankyrin domain family member J	Approved		2q21.1		NM_001277083		ENSG00000222038	653781
POTE ankyrin domain family member K, pseudogene	Approved	ACTBL3, POTEK	2q21.1	AY014272	NR_033885	611266	ENSG00000204434	440915
POTE ankyrin domain family member M	Approved		14q11.2		NM_001145442		ENSG00000222036	641455
POU class 1 homeobox 1	Approved	PIT1	3p11.2	D10216	NM_000306	173110	ENSG00000064835	5449
POU class 2 associating factor 1	Approved		11q23.1		NM_006235	601206	ENSG00000110777	5450
POU class 2 homeobox 1	Approved	OTF1	1q24.2	BC001664	NM_002697	164175	ENSG00000143190	5451
POU class 2 homeobox 2	Approved	OTF2	19q13.2			164176	ENSG00000028277	5452
POU class 2 homeobox 3	Approved		11q23.3	AF133895		607394	ENSG00000137709	25833
POU class 3 homeobox 1	Approved	OTF6	1p34.3	L26494	NM_002699	602479	ENSG00000185668	5453
POU class 3 homeobox 2	Approved	OTF7	6q16.1	Z11933		600494	ENSG00000184486	5454
POU class 3 homeobox 3	Approved		2q12.1			602480	ENSG00000198914	5455
POU class 3 homeobox 4	Approved	DFN3	Xq21.1	X82324	NM_000307	300039	ENSG00000196767	5456
POU class 4 homeobox 1	Approved	BRN3A	13q31.1	X64624		601632	ENSG00000152192	5457
POU class 4 homeobox 2	Approved	BRN3B	4q31.22	U06233	NM_004575	113725	ENSG00000151615	5458
POU class 4 homeobox 3	Approved	DFNA15, DFNA52, DFNA42	5q32	U10060	NM_002700	602460	ENSG00000091010	5459
POU class 5 homeobox 1	Approved	OTF3	6p21.33	Z11898	NM_002701	164177	ENSG00000204531	5460
POU class 5 homeobox 1B	Approved	OTF3P1, POU5F1P1	8q24.21	AF268615	NM_001159542	615739	ENSG00000212993	5462
POU class 5 homeobox 1 pseudogene 2	Approved		8q22.3		NG_006103		ENSG00000253382	100129512
POU class 5 homeobox 1 pseudogene 3	Approved	OTF3L, POU5F1L	12p13.31	AF268617			ENSG00000235602	642559
POU class 5 homeobox 1 pseudogene 4	Approved		1q22				ENSG00000237872	645682
POU class 5 homeobox 1 pseudogene 5	Approved		10q21.3				ENSG00000236375	100009667
POU class 5 homeobox 1 pseudogene 6	Approved		3q21.3				ENSG00000242551	100009668
POU class 5 homeobox 1 pseudogene 7	Approved		3q11.2				ENSG00000248365	100009669
POU domain class 5, transcription factor 2	Approved		5q15		NM_153216		ENSG00000248483	134187
POU class 6 homeobox 1	Approved		12q13.13	AL832881	NM_002702	618043	ENSG00000184271	5463
POU class 6 homeobox 2	Approved		7p14.1	U91934	NM_007252	609062	ENSG00000106536	11281
POU6F2 antisense RNA 1	Approved		7p14.1	AI807878, BX113391			ENSG00000224122	100861520
POU6F2 antisense RNA 2	Approved		7p14.1	AK023033			ENSG00000233854	100689074
pyrophosphatase (inorganic) 1 pseudogene	Approved		3p24.3		NG_002639			151842
protein phosphatase 2C like domain containing 1	Approved	C3orf48	3p24.3	AK058178	NM_144714		ENSG00000183977	151649
pyrophosphatase (inorganic) 1	Approved	PP	10q22.1	AF154065	NM_021129	179030	ENSG00000180817	5464
pyrophosphatase (inorganic) 2	Approved		4q24		NM_176869	609988	ENSG00000138777	27068
peter pan homolog	Approved		19p13.2	BC033202	NM_020230	607793	ENSG00000130810	56342
PPAN-P2RY11 readthrough	Approved		19p13.2	AJ300588	NM_001040664		ENSG00000243207	692312
symbol withdrawn, see PPARA	Symbol Withdrawn							
peroxisome proliferator activated receptor alpha	Approved	PPAR	22q13.31	L02932	NM_001001928	170998	ENSG00000186951	5465
peroxisome proliferator activated receptor delta	Approved		6p21.31	L07592	NM_006238	600409	ENSG00000112033	5467
peroxisome proliferator activated receptor gamma	Approved		3p25.2	X90563	NM_005037	601487	ENSG00000132170	5468
PPARG coactivator 1 alpha	Approved	PPARGC1	4p15.2	AF106698	NM_013261	604517	ENSG00000109819	10891
PPARG coactivator 1 beta	Approved		5q32	AF468496	NM_133263	608886	ENSG00000155846	133522
phosphoribosyl pyrophosphate amidotransferase	Approved		4q12		NM_002703	172450	ENSG00000128059	5471
phosphoribosyl pyrophosphate amidotransferase pseudogene 1	Approved		3p12.1				ENSG00000241293	100289640
phosphoribosyl pyrophosphate amidotransferase pseudogene 2	Approved		Xq21.1				ENSG00000271433	100421601
pro-platelet basic protein	Approved	THBGB1	4q13.3	M54995	NM_002704	121010	ENSG00000163736	5473
pro-platelet basic protein pseudogene 1	Approved	PPBPL1	4q13.3			188035	ENSG00000250550	728045
pro-platelet basic protein pseudogene 2	Approved	PPBPL2	4q13.3	L10403		611591	ENSG00000248848	10895
symbol withdrawn, see VSX1	Symbol Withdrawn							
symbol withdrawn, see ZEB1	Symbol Withdrawn							
phosphopantothenoylcysteine decarboxylase	Approved		15q24.2	AK027491	NM_021823	609854	ENSG00000138621	60490
phosphopantothenoylcysteine synthetase	Approved		1p34.2	AK021900	NM_024664	609853	ENSG00000127125	79717
symbol withdrawn, see HPD	Symbol Withdrawn							
pancreatic progenitor cell differentiation and proliferation factor	Approved	C20orf149	20q13.33	AL121829			ENSG00000125534	79144
pancreatic progenitor cell differentiation and proliferation factor like	Approved	C8orf22	8q11.21	BC017981	NM_001007176		ENSG00000168333	492307
protein phosphatase with EF-hand domain 1	Approved	PPEF	Xp22.13	BC036026	NM_006240	300109	ENSG00000086717	5475
PPEF1 antisense RNA 1	Approved		Xp22.13				ENSG00000237221	100874004
protein phosphatase with EF-hand domain 2	Approved		4q21.1	AF023456	NM_006239	602256	ENSG00000156194	5470
PTPRF interacting protein alpha 1	Approved		11q13.3	U22816	NM_003626	611054	ENSG00000131626	8500
PTPRF interacting protein alpha 2	Approved		12q21.31	AF034799		603143	ENSG00000139220	8499
PPFIA2 antisense RNA 1	Approved		12q21.31		NR_120491		ENSG00000257467	102724663
PTPRF interacting protein alpha 3	Approved		19q13.33	AF034800	NM_003660	603144	ENSG00000177380	8541
PTPRF interacting protein alpha 4	Approved		1q32.1	AF034801	NM_015053	603145	ENSG00000143847	8497
PPFIA binding protein 1	Approved		12p11.23-p11.22	AF034802	NM_003622	603141	ENSG00000110841	8496
PPFIA binding protein 2	Approved		11p15.4	AF034803	NM_003621	603142	ENSG00000166387	8495
symbol withdrawn, see BMPR2	Symbol Withdrawn							
primary pulmonary hypertension 2	Approved		2q31-q32					89873
periphilin 1	Approved		12q12	AY157850	NM_201515	608150	ENSG00000134283	51535
peptidylprolyl isomerase A	Approved		7p13	X52851	NM_021130	123840	ENSG00000196262	5478
symbol withdrawn, see PPIAP10	Symbol Withdrawn							
peptidylprolyl isomerase A like 4A	Approved	PPIAL4, PPIAL4B	1p11.2	AB084917	NM_001143883		ENSG00000263353	653505
symbol withdrawn, see PPIAL4A	Symbol Withdrawn							
peptidylprolyl isomerase A like 4C	Approved		1q21.2				ENSG00000263464	653598
peptidylprolyl isomerase A like 4D	Approved		1q21.1		NM_001164261		ENSG00000256374	645142
peptidylprolyl isomerase A like 4E	Approved		1q21.1		NM_001144032	608608	ENSG00000271567	730262
peptidylprolyl isomerase A like 4F	Approved		1q21.1		NM_001164262		ENSG00000279782	728945
peptidylprolyl isomerase A like 4G	Approved		1q21.2		NM_001123068		ENSG00000236334	644591
peptidylprolyl isomerase A like 4H	Approved		1q21.1					105371242
peptidylprolyl isomerase A pseudogene 1	Approved	PPIAP	21q21.1				ENSG00000215351	100288185
peptidylprolyl isomerase A pseudogene 2	Approved		20p11.21	AL353812			ENSG00000227379	170537
peptidylprolyl isomerase A pseudogene 3	Approved		20q11.23	AL109614			ENSG00000235044	170539
peptidylprolyl isomerase A pseudogene 4	Approved		14q21.1				ENSG00000258591	122552
peptidylprolyl isomerase A pseudogene 5	Approved		14q23.1				ENSG00000258996	122842
peptidylprolyl isomerase A pseudogene 6	Approved		14q24.1				ENSG00000258477	319128
peptidylprolyl isomerase A pseudogene 7	Approved	PPIP7	1p21.2	X52858			ENSG00000173810	5489
peptidylprolyl isomerase A pseudogene 8	Approved	PPIP8	12q23.1				ENSG00000225185	341457
peptidylprolyl isomerase A pseudogene 9	Approved	PPIP9	6p21.33		NG_001025		ENSG00000219797	5491
peptidylprolyl isomerase A pseudogene 10	Approved	PPIAL2, PPIP10	20q13.2	AL354993	NG_001008		ENSG00000224530	140913
peptidylprolyl isomerase A pseudogene 11	Approved	PPIP1	5q14.1	X52856			ENSG00000251495	5483
peptidylprolyl isomerase A pseudogene 13	Approved	PPIP3	10q22.2	X52853			ENSG00000237882	5485
peptidylprolyl isomerase A pseudogene 14	Approved	PPIP4	18p11.31	X52854			ENSG00000264775	5486
peptidylprolyl isomerase A pseudogene 15	Approved	PPIP5	3q13.13	X52855			ENSG00000244196	5487
peptidylprolyl isomerase A pseudogene 16	Approved	PPIP6	3p14.3	X52857			ENSG00000213509	5488
peptidylprolyl isomerase A pseudogene 17	Approved	PPIP11	20p12.1	AL161941, NG_001049	NG_001049		ENSG00000225622	170540
peptidylprolyl isomerase A pseudogene 18	Approved		3p21.32					729673
peptidylprolyl isomerase A pseudogene 19	Approved		10q25.3				ENSG00000228169	390006
peptidylprolyl isomerase A pseudogene 20	Approved		19p13.2				ENSG00000235686	100500737
peptidylprolyl isomerase A pseudogene 21	Approved	PPIAL	20q13.11	AL021395	NG_001566		ENSG00000226038	170536
peptidylprolyl isomerase A pseudogene 22	Approved	PPIAL3	21q21.1		NG_005752		ENSG00000198618	653214
peptidylprolyl isomerase A pseudogene 23	Approved		13q31.3				ENSG00000214178	390419
peptidylprolyl isomerase A pseudogene 24	Approved		13q33.3				ENSG00000174408	122335
peptidylprolyl isomerase A pseudogene 25	Approved		13q14.13				ENSG00000229303	647085
peptidylprolyl isomerase A pseudogene 26	Approved		13q14.3				ENSG00000150276	121981
peptidylprolyl isomerase A pseudogene 27	Approved		13q12.11				ENSG00000234363	100874405
peptidylprolyl isomerase A pseudogene 28	Approved		13q12.11		NG_011400		ENSG00000226633	390378
peptidylprolyl isomerase A pseudogene 29	Approved		6p22.3		NG_007346		ENSG00000214975	134997
peptidylprolyl isomerase A pseudogene 30	Approved		10p13		NR_036506		ENSG00000206448	100192204
peptidylprolyl isomerase A pseudogene 31	Approved		10p11.22		NG_030116		ENSG00000217094	439953
peptidylprolyl isomerase A pseudogene 32	Approved		10q26.3				ENSG00000233319	101927399
peptidylprolyl isomerase A pseudogene 33	Approved		9p24.1				ENSG00000178654	392285
peptidylprolyl isomerase A pseudogene 34	Approved		1p36.12				ENSG00000234397	101060363
peptidylprolyl isomerase A pseudogene 35	Approved		1p34.1				ENSG00000232369	128192
peptidylprolyl isomerase A pseudogene 36	Approved		1p34.1				ENSG00000236872	111082961
peptidylprolyl isomerase A pseudogene 37	Approved		1q23.3				ENSG00000226003	111082976
peptidylprolyl isomerase A pseudogene 38	Approved		10q25.1				ENSG00000233477	111082962
peptidylprolyl isomerase A pseudogene 39	Approved		10q25.3				ENSG00000230018	111082963
peptidylprolyl isomerase A pseudogene 40	Approved		11p15.4				ENSG00000230593	107984349
peptidylprolyl isomerase A pseudogene 41	Approved		11p11.2				ENSG00000254463	111082977
peptidylprolyl isomerase A pseudogene 42	Approved		11q12.1				ENSG00000213592	100507231
peptidylprolyl isomerase A pseudogene 43	Approved		11q22.1				ENSG00000255059	440063
peptidylprolyl isomerase A pseudogene 44	Approved		12p11.21				ENSG00000258118	111082964
peptidylprolyl isomerase A pseudogene 45	Approved		12q13.11				ENSG00000258116	100506099
peptidylprolyl isomerase A pseudogene 46	Approved		15q24.1				ENSG00000260266	729739
peptidylprolyl isomerase A pseudogene 47	Approved		15q24.2				ENSG00000260815	391532
peptidylprolyl isomerase A pseudogene 48	Approved		16q21				ENSG00000260187	111082978
peptidylprolyl isomerase A pseudogene 49	Approved		16q23.1				ENSG00000260471	111082973
peptidylprolyl isomerase A pseudogene 50	Approved		16q23.1				ENSG00000261330	111082974
peptidylprolyl isomerase A pseudogene 51	Approved		16q23.2				ENSG00000260229	729313
peptidylprolyl isomerase A pseudogene 52	Approved		17p13.1				ENSG00000270606	111082965
peptidylprolyl isomerase A pseudogene 53	Approved		17p12				ENSG00000223878	649873
peptidylprolyl isomerase A pseudogene 54	Approved		17q21.2				ENSG00000264655	390791
peptidylprolyl isomerase A pseudogene 55	Approved		17q23.3				ENSG00000228979	342541
peptidylprolyl isomerase A pseudogene 56	Approved		18p11.21				ENSG00000267663	101927689
peptidylprolyl isomerase A pseudogene 57	Approved		18q11.2				ENSG00000266809	111082979
peptidylprolyl isomerase A pseudogene 58	Approved		19q12				ENSG00000267258	126170
peptidylprolyl isomerase A pseudogene 59	Approved		19q13.41				ENSG00000228674	390956
peptidylprolyl isomerase A pseudogene 60	Approved		2p25.1				ENSG00000226961	107985791
peptidylprolyl isomerase A pseudogene 61	Approved		2p24.1					107985764
peptidylprolyl isomerase A pseudogene 62	Approved		2p16.3				ENSG00000226473	101928610
peptidylprolyl isomerase A pseudogene 63	Approved		2p16.1				ENSG00000231570	111082966
peptidylprolyl isomerase A pseudogene 64	Approved		2p14				ENSG00000236259	100287361
peptidylprolyl isomerase A pseudogene 65	Approved		2q21.1				ENSG00000233428	111082980
peptidylprolyl isomerase A pseudogene 66	Approved		2q31.1				ENSG00000226131	643997
peptidylprolyl isomerase A pseudogene 67	Approved		2q31.1				ENSG00000237260	111082981
peptidylprolyl isomerase A pseudogene 68	Approved		2q33.3				ENSG00000213739	111082967
peptidylprolyl isomerase A pseudogene 69	Approved		3p21.2				ENSG00000228337	111082982
peptidylprolyl isomerase A pseudogene 70	Approved		3p14.2				ENSG00000232407	100506946
peptidylprolyl isomerase A pseudogene 71	Approved		3p14.2				ENSG00000244183	107986014
peptidylprolyl isomerase A pseudogene 72	Approved		3q22.3				ENSG00000174715	256374
peptidylprolyl isomerase A pseudogene 73	Approved		3q25.1				ENSG00000182000	391587
peptidylprolyl isomerase A pseudogene 74	Approved		3q26.1				ENSG00000220343	131055
peptidylprolyl isomerase A pseudogene 75	Approved		3q26.32				ENSG00000271131	111082968
peptidylprolyl isomerase A pseudogene 76	Approved		4q28.1				ENSG00000250484	111082983
peptidylprolyl isomerase A pseudogene 77	Approved		5p12				ENSG00000249092	402213
peptidylprolyl isomerase A pseudogene 78	Approved		5q12.3				ENSG00000234838	202227
peptidylprolyl isomerase A pseudogene 79	Approved		5q14.3				ENSG00000214853	100289244
peptidylprolyl isomerase A pseudogene 80	Approved		7p15.1				ENSG00000174495	402644
peptidylprolyl isomerase A pseudogene 81	Approved		7q11.23				ENSG00000213548	107986732
peptidylprolyl isomerase A pseudogene 82	Approved		7q22.1				ENSG00000213455	442713
peptidylprolyl isomerase A pseudogene 83	Approved		7q35				ENSG00000242978	111082969
peptidylprolyl isomerase A pseudogene 84	Approved		8p12				ENSG00000254152	111082984
peptidylprolyl isomerase A pseudogene 85	Approved		8q12.1				ENSG00000254103	111082975
peptidylprolyl isomerase A pseudogene 86	Approved		8q13.1				ENSG00000213873	111082970
peptidylprolyl isomerase A pseudogene 87	Approved		9q21.13				ENSG00000219149	392352
peptidylprolyl isomerase A pseudogene 88	Approved		9q31.2				ENSG00000227350	111082971
peptidylprolyl isomerase A pseudogene 89	Approved		Xq22.1				ENSG00000223819	442460
peptidylprolyl isomerase A pseudogene 90	Approved		Xq22.1				ENSG00000234557	111082985
peptidylprolyl isomerase A pseudogene 91	Approved		Xq28				ENSG00000228728	111082972
peptidylprolyl isomerase B	Approved		15q22.31			123841	ENSG00000166794	5479
peptidylprolyl isomerase C	Approved		5q23.2	S71018	NM_000943	123842	ENSG00000168938	5480
peptidylprolyl isomerase D	Approved		4q32.1		NM_005038	601753	ENSG00000171497	5481
peptidylprolyl isomerase E	Approved		1p34.2	AF042385	NM_006112	602435	ENSG00000084072	10450
peptidylprolyl isomerase E like pseudogene	Approved		1p34.3	CN265253	NR_003929.2		ENSG00000243970	728448
peptidylprolyl isomerase F	Approved		10q22.3	M80254	NM_005729	604486	ENSG00000108179	10105
peptidylprolyl isomerase G	Approved		2q31.1	X99717		606093	ENSG00000138398	9360
peptidylprolyl isomerase G pseudogene 1	Approved		5q33.2					100131033
peptidylprolyl isomerase H	Approved		1p34.2	AF016371	NM_006347	606095	ENSG00000171960	10465
peptidylprolyl isomerase H pseudogene 1	Approved		11q23.1	AY425814	NG_001586		ENSG00000230911	246731
peptidylprolyl isomerase H pseudogene 2	Approved		Xq23	AY425815				404199
peptidylprolyl isomerase like 1	Approved		6p21.2	AF090992		601301	ENSG00000137168	51645
peptidylprolyl isomerase like 1 pseudogene 1	Approved		2p23.3		NG_001555		ENSG00000237951	150947
peptidylprolyl isomerase like 2	Approved		22q11.21			607588	ENSG00000100023	23759
peptidylprolyl isomerase like 3	Approved		2q33.1	AF251049		615811	ENSG00000240344	53938
peptidylprolyl isomerase like 4	Approved		6q25.1			607609	ENSG00000131013	85313
peptidylprolyl isomerase like 6	Approved		6q21				ENSG00000185250	285755
diphosphoinositol pentakisphosphate kinase 1	Approved	HISPPD2A	15q15.3	AF502586	NM_014659	610979	ENSG00000168781	9677
diphosphoinositol pentakisphosphate kinase 1 pseudogene 1	Approved	HISPPD2B	15q15.3					554224
diphosphoinositol pentakisphosphate kinase 2	Approved	HISPPD1, DFNB100	5q21.1	AB007893	NM_015216	611648	ENSG00000145725	23262
periplakin	Approved		16p13.3	AF013717	NM_002705	602871	ENSG00000118898	5493
protein phosphatase, Mg2+/Mn2+ dependent 1A	Approved		14q23.1	S87759	NM_021003	606108	ENSG00000100614	5494
protein phosphatase, Mg2+/Mn2+ dependent 1A pseudogene 1	Approved		8p22		NG_002692		ENSG00000250483	137012
protein phosphatase, Mg2+/Mn2+ dependent 1B	Approved		2p21	AJ005801	NM_002706	603770	ENSG00000138032	5495
protein phosphatase, Mg2+/Mn2+ dependent 1D	Approved		17q23.3	U78305	NM_003620	605100	ENSG00000170836	8493
protein phosphatase, Mg2+/Mn2+ dependent 1E	Approved		17q24.2	AB028995	NM_014906		ENSG00000175175	22843
protein phosphatase, Mg2+/Mn2+ dependent 1F	Approved		22q11.22	D13640	NM_014634		ENSG00000100034	9647
protein phosphatase, Mg2+/Mn2+ dependent 1G	Approved		2p23.3	Y13936	NM_002707	605119	ENSG00000115241	5496
protein phosphatase, Mg2+/Mn2+ dependent 1H	Approved	ARHCL1	12q14.1-q14.2	AB032983	NM_020700	616016	ENSG00000111110	57460
protein phosphatase, Mg2+/Mn2+ dependent 1J	Approved		1p13.2	AK093270	NM_005167	609957	ENSG00000155367	333926
protein phosphatase, Mg2+/Mn2+ dependent 1K	Approved		4q22.1	BC037552	NM_152542	611065	ENSG00000163644	152926
PPM1K divergent transcript	Approved		4q22.1		NR_134236			105369192
protein phosphatase, Mg2+/Mn2+ dependent 1L	Approved		3q25.33-q26.1	AK055115	NM_139245	611931	ENSG00000163590	151742
protein phosphatase, Mg2+/Mn2+ dependent 1M	Approved		3p21.2	AK096681	NM_144641	608979	ENSG00000164088	132160
protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)	Approved		19q13.32	AK097444	NM_001080401		ENSG00000213889	147699
protein phosphatase methylesterase 1	Approved		11q13.4		NM_016147	611117	ENSG00000214517	51400
protoporphyrinogen oxidase	Approved	VP	1q23.3	BC002357	NM_000309	600923	ENSG00000143224	5498
protein phosphatase 1 catalytic subunit alpha	Approved	PPP1A	11q13		NM_002708	176875	ENSG00000172531	5499
protein phosphatase 1 catalytic subunit beta	Approved		2p23.2			600590	ENSG00000213639	5500
protein phosphatase 1 catalytic subunit gamma	Approved		12q24.11			176914	ENSG00000186298	5501
protein phosphatase 1 regulatory inhibitor subunit 1A	Approved		12q13.2	U48707	NM_006741	613246	ENSG00000135447	5502
protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 1	Approved		11q13.5				ENSG00000255255	94304
protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 2	Approved		16p11.1		NG_022518		ENSG00000261084	100129627
protein phosphatase 1 regulatory inhibitor subunit 1B	Approved		17q12	AI124650	NM_032192	604399	ENSG00000131771	84152
protein phosphatase 1 regulatory inhibitor subunit 1C	Approved		2q31.3-q32.1	AF494535, BC017943	NM_001080545	613240	ENSG00000150722	151242
protein phosphatase 1 regulatory inhibitor subunit 2	Approved		3q29	U68111	NM_006241	601792	ENSG00000184203	5504
PPP1R2 family member B	Approved	PPP1R2P3	5q33.3	BC066922			ENSG00000231989	153743
PPP1R2C family member C	Approved	PPP1R2P9	Xp11.3	AB044137		301017	ENSG00000102055	80316
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 1	Approved	PPP1R2P	6p21.32	AF275684	NG_027882		ENSG00000234515	100507444
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2	Approved		21q22.12				ENSG00000234008	54036
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 4	Approved		13q14.13		NG_011458		ENSG00000241353	728970
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 5	Approved		2q12.3				ENSG00000229360	649489
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 6	Approved		7q34				ENSG00000241661	100130972
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 8	Approved		5p14.3					94310
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 10	Approved		13q21.31				ENSG00000213232	100128626
symbol withdrawn, see PPP1R3A	Symbol Withdrawn							
protein phosphatase 1 regulatory subunit 3A	Approved	PPP1R3	7q31.1	AF024578	NM_002711	600917	ENSG00000154415	5506
protein phosphatase 1 regulatory subunit 3B	Approved		8p23.1	AK024067	NM_024607	610541	ENSG00000173281	79660
protein phosphatase 1 regulatory subunit 3C	Approved	PPP1R5	10q23.32	Y18207	NM_005398	602999	ENSG00000119938	5507
protein phosphatase 1 regulatory subunit 3D	Approved	PPP1R6	20q13.33	Y18206	NM_006242	603326	ENSG00000132825	5509
protein phosphatase 1 regulatory subunit 3E	Approved		14q11.2	AK024489			ENSG00000235194	90673
protein phosphatase 1 regulatory subunit 3F	Approved		Xp11.23		NM_033215		ENSG00000049769	89801
protein phosphatase 1 regulatory subunit 3G	Approved		6p25.1		NM_001145115		ENSG00000219607	648791
protein phosphatase 1 regulatory subunit 7	Approved		2q37.3	AF067136	NM_002712	602877	ENSG00000115685	5510
protein phosphatase 1 regulatory subunit 8	Approved		1p35.3	AF061959	NM_014110	602636	ENSG00000117751	5511
protein phosphatase 1 regulatory subunit 8 pseudogene 1	Approved	PPP1R8P	1p33	AF064758			ENSG00000224986	5512
protein phosphatase 1 regulatory subunit 9A	Approved		7q21.3	AB033048	NM_001166160	602468	ENSG00000158528	55607
protein phosphatase 1 regulatory subunit 9B	Approved	PPP1R6, PPP1R9	17q21.33	AJ401189	NM_032595	603325	ENSG00000108819	84687
protein phosphatase 1 regulatory subunit 10	Approved		6p21.33	Y13247	NM_002714	603771	ENSG00000204569	5514
protein phosphatase 1 regulatory subunit 10 pseudogene 1	Approved	PPP1R10P	11q24.3		NG_024439		ENSG00000255352	100422381
protein phosphatase 1 regulatory inhibitor subunit 11	Approved	TCTE5	6p22.1	X81003	NM_021959	606670	ENSG00000204619	6992
protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 1	Approved		1p36.12				ENSG00000236216	94297
protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 2	Approved		Xp11.21		NG_009575		ENSG00000231765	94298
protein phosphatase 1 regulatory subunit 12A	Approved	MYPT1	12q21.2-q21.31	D87930	NM_002480	602021	ENSG00000058272	4659
PPP1R12A antisense RNA 1	Approved		12q21.31		NR_146533		ENSG00000257557	105369865
protein phosphatase 1 regulatory subunit 12B	Approved	MYPT2	1q32.1	AB003062	NM_032105	603768	ENSG00000077157	4660
protein phosphatase 1 regulatory subunit 12B pseudogene 1	Approved	PPP1R12BP	Yq11.23				ENSG00000229238	360021
protein phosphatase 1 regulatory subunit 12B pseudogene 2	Approved		Yq11.223		NG_002939		ENSG00000205936	360020
protein phosphatase 1 regulatory subunit 12C	Approved	LENG3	19q13.42	AF312028	NM_017607	613245	ENSG00000125503	54776
protein phosphatase 1 regulatory subunit 13B	Approved		14q32.33	AB018314	NM_015316	606455	ENSG00000088808	23368
protein phosphatase 1 regulatory subunit 13 like	Approved		19q13.32	AF078036	NM_006663	607463	ENSG00000104881	10848
protein phosphatase 1 regulatory inhibitor subunit 14A	Approved	PPP1INL	19q13.1	AB056508	NM_033256	608153	ENSG00000167641	94274
protein phosphatase 1 regulatory inhibitor subunit 14B	Approved	PLCB3N	11q13.1	X91195	NM_138689	601140	ENSG00000173457	26472
protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 1	Approved	PLCB3NP	22q12	AF030942	NG_001274			50516
protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 2	Approved		2q33.3				ENSG00000213082	729406
protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 3	Approved		4q31.1				ENSG00000179967	100507617
protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 4	Approved		7p14.2					94302
protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 5	Approved		6q22.32				ENSG00000213133	442256
protein phosphatase 1 regulatory inhibitor subunit 14C	Approved		6q25.1	AF308297	NM_030949	613242	ENSG00000198729	81706
protein phosphatase 1 regulatory inhibitor subunit 14D	Approved		15q15.1	AK000258	NM_017726	613256	ENSG00000166143	54866
protein phosphatase 1 regulatory subunit 15A	Approved		19q13.2	U83981	NM_014330	611048	ENSG00000087074	23645
protein phosphatase 1 regulatory subunit 15B	Approved		1q32.1	AK027650	NM_032833	613257	ENSG00000158615	84919
protein phosphatase 1 regulatory subunit 16A	Approved		8q24.3		NM_032902	609172	ENSG00000160972	84988
protein phosphatase 1 regulatory subunit 16B	Approved		20q11.23	AB020630	NM_015568	613275	ENSG00000101445	26051
protein phosphatase 1 regulatory subunit 17	Approved	C7orf16	7p14.3	AF071789	NM_006658	604088	ENSG00000106341	10842
protein phosphatase 1 regulatory subunit 18	Approved	KIAA1949	6p21.33	AK097089	NM_133471	610990	ENSG00000146112	170954
protein phosphatase 1 regulatory subunit 21	Approved	CCDC128, KLRAQ1	2p16.3	AY134855	NM_152994	618159	ENSG00000162869	129285
protein phosphatase 1 regulatory subunit 26	Approved	KIAA0649	9q34.3	AB014549	NM_014811	614056	ENSG00000196422	9858
PPP1R26 antisense RNA 1	Approved		9q34.3		NR_038969		ENSG00000225361	100506599
protein phosphatase 1 regulatory subunit 26 pseudogene 1	Approved	KIAA0649P1	13q14.2				ENSG00000238086	100418740
protein phosphatase 1 regulatory subunit 26 pseudogene 2	Approved	KIAA0649P2	22q11.21				ENSG00000273643	100133064
protein phosphatase 1 regulatory subunit 26 pseudogene 3	Approved	KIAA0649P3	22q11.21				ENSG00000275060	100132173
protein phosphatase 1 regulatory subunit 26 pseudogene 4	Approved	KIAA0649P4	22q11.21				ENSG00000278008	100132295
